source_string,target_string,license,latin,arabic
Wroclaw Medical University,ⵜⴰⵙⴷⴰⵡⵉⵜ ⵜⴰⵎⵙⵏⵉⵊⵊⵉⵜ ⵏ ⴼⵔⵓⵜⵙⵡⴰⴼ,CC0-1.0,tasdawit tamsnijjit n frutswaf,تاسداويت تامسنيججيت ن فروتسواف
Loading...,ⴰⵔ ⵉⵜⵜⵡⴰⴳⴰⵎ...,CC0-1.0,ar ittwagam...,ار يتتواڭام...
Upload photo,ⴰⴳⵎ ⵜⴰⵡⵍⴰⴼⵜ,CC0-1.0,agm tawlaft,اڭم تاولافت
Remove photo,ⴽⴽⵙ ⵜⴰⵡⵍⴰⴼⵜ,CC0-1.0,kks tawlaft,ككس تاولافت
Report photo,ⵙⴽⵔ ⵜⴰⵏⴰⴹⵜ ⵉ ⵜⵡⵍⴰⴼⵜ,CC0-1.0,skr tanaḍt i twlaft,سكر تاناضت ي تولافت
Send report,ⴰⵣⵏ ⵜⴰⵏⴰⴹⵜ,CC0-1.0,azn tanaḍt,ازن تاناضت
"You can report the photo if it's bad quality, does not show the AED's location or is inappropriate in any way. Administrators of the site will review the report.","ⵜⵣⵎⵔⴷ ⴰⴷ ⵜⴰⵣⵏⴷ ⵜⴰⵏⴰⴹⵜ ⵅⴼ ⵜⵡⵍⴰⴼⵜ ⵎⵛ ⵖⵔⵙ ⴳⴰⵔ ⵜⵉⵕⵡⵉ, ⵏⵉⵖ ⵓⵔ ⵜⵙⵙⵓⵎⴰⵏ ⴰⵔⴰⵇ ⵏ AED ⵏⵉⵖ ⵓⵔ ⵜⵎⵙⴰⵙⴰ ⵇⴰⵃ. ⵔⴰⴷ ⵖⵔⵏ ⵉⵎⵙⵜⴳⴳⴰⵔⵏ ⵏ ⵡⴰⵙⵉⵜ ⵜⴰⵏⴰⴹⵜ.",CC0-1.0,"tzmrd ad taznd tanaḍt khf twlaft msh ghrs gar tiṛwi, nigh ur tssuman araq n AED nigh ur tmsasa qaḥ. rad ghrn imstggarn n wasit tanaḍt.","تزمرد اد تازند تاناضت خف تولافت مش غرس ڭار تيروي, نيغ ور تسسومان اراق ن AED نيغ ور تمساسا قاح. راد غرن يمستڭڭارن ن واسيت تاناضت."
All AED photos hosted by us are licensed under Creative Commons Zero (CC0 v1.0). By uploading your photo you agree to this license terms.,ⵇⴰⵃ ⵜⵉⵡⵍⴰⴼⵉⵏ ⵏ AED ⵏⵏⴰ ⵏⵜⵜⴰⵎⵥ ⵖⵔⵙⵏⵜ ⵜⵓⵔⴰⴳⵜ ⵏ Creative Commons Zero (CC0 v1.0). ⵉⵖ ⵜⵓⴳⵎⴷ ⵜⴰⵡⵍⴰⴼⵜ ⵏⵏⴽ ⵔⴰⴷ ⵜⵎⵙⴰⵙⴰⴷ ⵅⴼ ⵜⴼⴰⴷⵉⵡⵉⵏ ⴰⴷ ⵏ ⵜⵓⵔⴰⴳⵜ.,CC0-1.0,qaḥ tiwlafin n AED nna nttamẓ ghrsnt turagt n Creative Commons Zero (CC0 v1.0). igh tugmd tawlaft nnk rad tmsasad khf tfadiwin ad n turagt.,قاح تيولافين ن AED ننا نتتامزّ غرسنت توراڭت ن Creative Commons Zero (CC0 v1.0). يغ توڭمد تاولافت ننك راد تمساساد خف تفاديوين اد ن توراڭت.
In short this means that the photo can be used by anyone for any purpose. No attribution is necessary.,ⵙ ⵓⵣⴳⵣⵍ ⵉⴳⴰ ⵓⵏⴰⵎⴽ ⵏ ⵓⵢⴰⴷ ⵎⴰⵙ ⵉⵥⴹⴰⵕ ⴽⵓ ⵢⴰⵏ ⴰⴷ ⵉⵙⵙⵎⵔⵙ ⵜⴰⵡⵍⴰⴼⵜ ⴷⵉ ⴽⵓ ⴰⵙⴽⴽⵉⵏ. ⵓⵔ ⵜⵍⵍⵉ ⴽⵔⴰ ⵏ ⵜⵉⴽⴽⵉ ⵉⵍⴰⵣⵎ.,CC0-1.0,s uzgzl iga unamk n uyad mas iẓḍaṛ ku yan ad issmrs tawlaft di ku askkin. ur tlli kra n tikki ilazm.,س وزڭزل يڭا ونامك ن وياد ماس يزّضار كو يان اد يسسمرس تاولافت دي كو اسككين. ور تللي كرا ن تيككي يلازم.
Launcher,ⵜⴰⵎⵣⵡⴰⵔⵓⵜ,GPL-3.0-or-later,tamzwarut,تامزواروت
Launcher Settings,ⵜⵉⵙⵖⴰⵍ ⵏ ⵜⵎⵣⵡⴰⵔⵓⵜ,GPL-3.0-or-later,tisghal n tmzwarut,تيسغال ن تمزواروت
App info,ⵉⵏⵖⵎⵉⵙⵏ ⵅⴼ ⵜⵙⵏⵙⵉ,GPL-3.0-or-later,inghmisn khf tsnsi,ينغميسن خف تسنسي
Long press the widget and drag it on your home screen,ⴰⴷⵔ ⵎⵍⵉⵃ ⵅⴼ widget ⵜⴰⵡⵉ ⵜⵜ ⵖⵔ ⵓⵎⵉⵥⴰⵕ ⵏⵏⴽ ⴰⵎⵇⵇⵔⴰⵏ,GPL-3.0-or-later,adr mliḥ khf widget tawi tt ghr umiẓaṛ nnk amqqran,ادر مليح خف widget تاوي تت غر وميزّار ننك امققران
Uninstall,ⵜⵓⵙⵙⵔⴰ ⵏ ⵡⴰⴳⴰⵎ,GPL-3.0-or-later,tussra n wagam,توسسرا ن واڭام
Hide icon,ⴼⴼⵔ ⵜⴰⵙⴰⵔⵓⵜ,GPL-3.0-or-later,ffr tasarut,ففر تاساروت
Add hidden icons,ⵔⵏⵓ ⵜⵉⵙⵓⵔⴰ ⵉⴼⴼⵔⵏ,GPL-3.0-or-later,rnu tisura iffrn,رنو تيسورا يففرن
Manage hidden icons,ⴰⵙⵡⵓⴷⴷⵓ ⵏ ⵜⵙⵓⵔⴰ ⵉⴼⴼⵔⵏ,GPL-3.0-or-later,aswuddu n tsura iffrn,اسووددو ن تسورا يففرن
Hidden icons,ⵜⵉⵙⵓⵔⴰ ⵉⴼⴼⵔⵏ,GPL-3.0-or-later,tisura iffrn,تيسورا يففرن
"Some apps cannot be uninstalled due to system restrictions, but you can at least hide their icons to avoid seeing them.","ⵓⵔ ⵜⵣⵔⵉⵏ ⵜⵓⵙⵙⵔⴰ ⵏ ⴽⵔⴰ ⵏ ⵜⵙⵏⵙⵉⵡⵉⵏ ⵙ ⵜⵎⵏⵜⵉⵍⵜ ⵏ ⵉⵙⵍⴳⵏⵏ ⵏ ⵓⵏⴳⵔⴰⵡ, ⵎⴰⵛⴰ ⵜⵣⵔⵉ ⵜⵓⴼⴼⵔⴰ ⵏ ⵜⵙⵓⵔⴰ ⵏⵏⵙⵏⵜ ⵃⵎⴰ ⵓⵔ ⴷ ⵜⵜⴹⵀⴰⵕⵏⵜ.",GPL-3.0-or-later,"ur tzrin tussra n kra n tsnsiwin s tmntilt n islgnn n ungraw, masha tzri tuffra n tsura nnsnt ḥma ur d ttḍhaṛnt.","ور تزرين توسسرا ن كرا ن تسنسيوين س تمنتيلت ن يسلڭنن ن ونڭراو, ماشا تزري توففرا ن تسورا ننسنت حما ور د تتضهارنت."
Name,ⵉⵙⵎ,GPL-3.0-only,ism,يسم
Messages,ⵜⵉⴱⵔⴰⵜⵉⵏ,GPL-3.0-only,tibratin,تيبراتين
Draw!,ⵙⵙⵓⵏⵖ!,MIT,ssungh!,سسونغ!
Saving the canvas…,ⴰⵣⵎⵎⴻⵎ ⵏ ⵜⵉⴼⵙⵜ…,MIT,azmmem n tifst…,ازمم°م ن تيفست…
Clearing the canvas…,ⴽⴽⵙ ⵜⵉⴼⵙⵜ…,MIT,kks tifst…,ككس تيفست…
Quitting…,ⵓⴼⵓⵖ…,MIT,ufugh…,وفوغ…
Addresses,ⴰⵏⵙⵉⵡⵏ,GPL-3.0-or-later,ansiwn,انسيون
Known addresses in OSM,ⴰⵏⵙⵉⵡⵏ ⵉⵜⵜⵡⴰⵙⵙⵏⵏ ⴳ OSM,GPL-3.0-or-later,ansiwn ittwassnn g OSM,انسيون يتتواسسنن ڭ OSM
"An open map of statues, busts, graffitis and other artwork all over the world","ⵢⴰⵜ ⵜⴽⴰⵕⴹⴰ ⵉⵕⵥⵎⵏ ⵅⴼ ⵉⵙⴼⵔⵉⵙⵏ, ⵉⵖⵔⴰⵙⵏ ⴷ ⵜⵡⵓⵔⵉⵡⵉⵏ ⵜⵉⵏⴰⵥⵓⵕⵉⵏ ⵢⴰⴹⵏⵉⵏ ⴳ ⵓⵎⴰⴹⴰⵍ",GPL-3.0-or-later,"yat tkaṛḍa iṛẓmn khf isfrisn, ighrasn d twuriwin tinaẓuṛin yaḍnin g umaḍal","يات تكارضا يرزّمن خف يسفريسن, يغراسن د تووريوين تينازّورين ياضنين ڭ وماضال"
Simple Flashlight,ⵜⴰⵙⴰⴼⵓⵜ ⵜⴰⴼⵔⴰⵔⵜ,GPL-3.0-or-later,tasafut tafrart,تاسافوت تافرارت
Flashlight,ⵜⴰⵙⴰⴼⵓⵜ,GPL-3.0-or-later,tasafut,تاسافوت
Obtaining the camera failed,ⵍⴽⴰⵎⵉⵔⴰ ⵓⵔ ⵜⵏⵏⵓⵔⵣⵎ,GPL-3.0-or-later,lkamira ur tnnurzm,لكاميرا ور تننورزم
Camera permission is necessary for proper stroboscope effect,ⴰⵙⵙⴼⴰⵡ ⴰⵔⴳⵉⴳⴰⵢ ⵜⵇⵇⴰⵏⵜ ⵜⵓⵔⴰⴳⵜ ⵏ ⵍⴽⴰⵎⵉⵔⴰ,GPL-3.0-or-later,assfaw argigay tqqant turagt n lkamira,اسسفاو ارڭيڭاي تققانت توراڭت ن لكاميرا
Bright display,ⴰⵎⵉⵥⴰⵕ ⴰⵎⴰⴼⴰⵡ,GPL-3.0-or-later,amiẓaṛ amafaw,اميزّار امافاو
Show a bright display button,ⵎⵍ ⴰⴱⵔⴰ ⵏ ⵓⵎⵉⵥⴰⵕ ⴰⵙⴰⴼⴰⵡ,GPL-3.0-or-later,ml abra n umiẓaṛ asafaw,مل ابرا ن وميزّار اسافاو
Show a stroboscope button,ⵎⵍ ⴰⵙⵙⴼⴰⵡ ⴰⵔⴳⵉⴳⴰⵢ,GPL-3.0-or-later,ml assfaw argigay,مل اسسفاو ارڭيڭاي
Stroboscope,ⴰⵙⵙⴼⴰⵡ ⴰⵔⴳⵉⴳⴰⵢ,GPL-3.0-or-later,assfaw argigay,اسسفاو ارڭيڭاي
Show an SOS button,ⵎⵍ ⴰⴱⵔⴰ ⵏ SOS,GPL-3.0-or-later,ml abra n SOS,مل ابرا ن SOS
Turn flashlight on at startup,ⵙⵙⴰⵖ ⵜⴰⵙⴰⴼⵓⵜ ⴷⴰⵔ ⵓⵏⵓⵔⵣⵎ,GPL-3.0-or-later,ssagh tasafut dar unurzm,سساغ تاسافوت دار ونورزم
Locale updated,ⴰⵙⴷⵖⵉ ⴰⴷⵖⴰⵔⴰⵏ,Apache-2.0,asdghi adgharan,اسدغي ادغاران
No user found with that username,ⵓⵔ ⵉⵍⵍⵉ ⴽⵔⴰ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ ⵢⵉⵙⵎ ⴰ,Apache-2.0,ur illi kra n unssmrs s yism a,ور يللي كرا ن ونسسمرس س ييسم ا
Choose a username with 50 characters or less.,ⵙⵜⵢ ⵢⴰⵏ ⵢⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ 50 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,sty yan yism n unssmrs s 50 iwnghutn ngh drus.,ستي يان ييسم ن ونسسمرس س 50 يونغوتن نغ دروس.
This username is already being used by another account. Choose a different username.,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
Password too long.,ⵜⵉⵖⵣⵉ ⵏ ⵜⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ:,Apache-2.0,tighzi n tguri n uzray:,تيغزي ن تڭوري ن وزراي:
Your passwords don't match. Try again.,ⵓⵔ ⵜⵎⵙⴰⵙⴰ ⵜⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ. ⴰⵍⵙ ⴰⵔⵎ.,Apache-2.0,ur tmsasa tguri n uzray. als arm.,ور تمساسا تڭوري ن وزراي. الس ارم.
You can't use an email address from this domain. Use a different email.,ⵓⵔ ⵜⵣⵎⵎⴰⵔⴷ ⴰⴷ ⵜⵙⵎⵔⵙⴷ ⵉⵎⴰⵢⵍ ⵙⴳ ⵉⴳⵔ ⴰ. ⵙⴽⵛⵎ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,ur tzmmard ad tsmrsd imayl sg igr a. skshm yan nniḍn.,ور تزممارد اد تسمرسد يمايل سڭ يڭر ا. سكشم يان ننيضن.
The name is too long. Choose a name with 100 characters or less.,ⵉⵖⵣⵣⵉⴼ ⵢⵉⵙⵎ ⴰ. ⵙⵜⵢ ⵢⴰⵏ ⵙ 100 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,ighzzif yism a. sty yan s 100 iwnghutn ngh drus.,يغززيف ييسم ا. ستي يان س 100 يونغوتن نغ دروس.
No user found with that username or email,ⵓⵔ ⵉⵍⵍⵉ ⴽⵔⴰ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ ⵢⵉⵙⵎ ⵏⵖ ⵉⵎⴰⵢⵍ ⴰ,Apache-2.0,ur illi kra n unssmrs s yism ngh imayl a,ور يللي كرا ن ونسسمرس س ييسم نغ يمايل ا
Email not found,ⵓⵔ ⵉⵜⵜⵢⴰⴼⴰ ⵉⵎⴰⵢⵍ,Apache-2.0,ur ittyafa imayl,ور يتتيافا يمايل
This is your primary address,ⵜⴰ ⴷ ⵜⴰⵏⵙⴰ ⵜⴰⴷⵙⵍⴰⵏⵜ ⵏⵏⴽ,Apache-2.0,ta d tansa tadslant nnk,تا د تانسا تادسلانت ننك
You are now ${role} of the '${organization_name}' organization.,ⵛⴽⴽ ⴷⵖⵉ ⴷ ${role} ⴳ ⵓⵙⵏⴼⴰⵕ ${project_name}'.,Apache-2.0,shkk dghi d ${role} g usnfaṛ ${project_name}'.,شكك دغي د ${role} ڭ وسنفار ${project_name}'.
You are now ${role} of the '${project_name}' project.,ⵛⴽⴽ ⴷⵖⵉ ⴷ ${role} ⴳ ⵓⵙⵏⴼⴰⵕ ${project_name}'.,Apache-2.0,shkk dghi d ${role} g usnfaṛ ${project_name}'.,شكك دغي د ${role} ڭ وسنفار ${project_name}'.
Choose an organization account name with 50 characters or less.,ⵙⵜⵢ ⵢⴰⵏ ⵢⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ 50 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,sty yan yism n unssmrs s 50 iwnghutn ngh drus.,ستي يان ييسم ن ونسسمرس س 50 يونغوتن نغ دروس.
This organization account name has already been used. Choose a different organization account name.,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
You have already submitted an application for that name. Choose a different organization account name.,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
Select project,ⵔⵣⵓ ⴳ ⵉⵙⵏⴼⴰⵕⵏ,Apache-2.0,rzu g isnfaṛn,رزو ڭ يسنفارن
Specify project name,ⵔⵣⵓ ⴳ ⵉⵙⵏⴼⴰⵕⵏ,Apache-2.0,rzu g isnfaṛn,رزو ڭ يسنفارن
This project name has already been used. Choose a different project name.,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
The organization name is too long. Choose a organization name with 100 characters or less.,ⵉⵖⵣⵣⵉⴼ ⵢⵉⵙⵎ ⴰ. ⵙⵜⵢ ⵢⴰⵏ ⵙ 100 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,ighzzif yism a. sty yan s 100 iwnghutn ngh drus.,يغززيف ييسم ا. ستي يان س 100 يونغوتن نغ دروس.
The organization URL is too long. Choose a organization URL with 400 characters or less.,ⵉⵖⵣⵣⵉⴼ ⵢⵉⵙⵎ ⴰ. ⵙⵜⵢ ⵢⴰⵏ ⵙ 100 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,ighzzif yism a. sty yan s 100 iwnghutn ngh drus.,يغززيف ييسم ا. ستي يان س 100 يونغوتن نغ دروس.
The organization description is too long. Choose a organization description with 400 characters or less.,ⵉⵖⵣⵣⵉⴼ ⵢⵉⵙⵎ ⴰ. ⵙⵜⵢ ⵢⴰⵏ ⵙ 100 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,ighzzif yism a. sty yan s 100 iwnghutn ngh drus.,يغززيف ييسم ا. ستي يان س 100 يونغوتن نغ دروس.
Choose a team name with 50 characters or less.,ⵙⵜⵢ ⵢⴰⵏ ⵢⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ 50 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,sty yan yism n unssmrs s 50 iwnghutn ngh drus.,ستي يان ييسم ن ونسسمرس س 50 يونغوتن نغ دروس.
This team name has already been used. Choose a different team name.,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
${username} is now ${role} of the '${project_name}' project.,ⵛⴽⴽ ⴷⵖⵉ ⴷ ${role} ⴳ ⵓⵙⵏⴼⴰⵕ ${project_name}'.,Apache-2.0,shkk dghi d ${role} g usnfaṛ ${project_name}'.,شكك دغي د ${role} ڭ وسنفار ${project_name}'.
Invitation sent to '${username}',ⵜⴻⵜⵜⵡⴰⵣⵏ ⵜⵖⵓⵔⵉ '${username}',Apache-2.0,tettwazn tghuri '${username}',ت°تتوازن تغوري '${username}'
Expired invitation for '${username}' deleted.,ⵜⴻⵜⵜⵡⴰⵣⵏ ⵜⵖⵓⵔⵉ '${username}',Apache-2.0,tettwazn tghuri '${username}',ت°تتوازن تغوري '${username}'
Invalid project name,ⵔⵣⵓ ⴳ ⵉⵙⵏⴼⴰⵕⵏ,Apache-2.0,rzu g isnfaṛn,رزو ڭ يسنفارن
This project name is already in use,ⴷⴰ ⵉⵙⵙⵎⵔⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵙⵎ ⴰ .ⵙⵜⵢ ⵢⴰⵏ ⵏⵏⵉⴹⵏ.,Apache-2.0,da issmras yan umiḍan ism a .sty yan nniḍn.,دا يسسمراس يان وميضان يسم ا .ستي يان ننيضن.
Page Not Found (404),ⵓⵔ ⵜⴻⵜⵜⵢⴰⴼⴰ ⵜⴰⵙⵏⴰ (404),Apache-2.0,ur tettyafa tasna (404),ور ت°تتيافا تاسنا (404)
External link,ⴰⵙⵖⵏ ⴰⴱⵕⵕⴰⵏⵉ,Apache-2.0,asghn abṛṛani,اسغن ابرراني
View video transcript,ⵥⵕ ⴰⴹⵕⵉⵚ ⵏ ⵓⴼⵉⴷⵢⵓ,Apache-2.0,ẓṛ aḍṛiṣ n ufidyu,زّر اضريص ن وفيديو
Page removed (410),ⵜⴻⵜⵜⵡⴰⴽⴽⵙ ⵜⴰⵙⵏⴰ (410),Apache-2.0,tettwakks tasna (410),ت°تتواككس تاسنا (410)
The page you are looking for has been removed,ⵜⴻⵜⵜⵡⴰⴽⴽⵙ ⵜⴰⵙⵏⴰ ⵏⵏⴰ ⵅⴼ ⵜⵔⵣⵣⵓⴷ,Apache-2.0,tettwakks tasna nna khf trzzud,ت°تتواككس تاسنا ننا خف ترززود
Internal server error (500),ⴰⵣⴳⴰⵍ ⴰⴳⵯⵏⵙⴰⵏ ⴳ ⵓⵎⴰⴽⴽⴰⵢ (500),Apache-2.0,azgal agⵯnsan g umakkay (500),ازڭال اڭⵯنسان ڭ وماككاي (500)
Something went wrong,ⵉⵍⵍⴰ ⴽⵔⴰ ⵏ ⵓⵣⴳⴰⵍ,Apache-2.0,illa kra n uzgal,يللا كرا ن وزڭال
View Python Status on Twitter,ⵥⵕ ⴰⴷⴷⴰⴷ ⵏ ⴱⴰⵢⵜⵓⵏ ⴳ ⵜⵡⵉⵜⵔ,Apache-2.0,ẓṛ addad n baytun g twitr,زّر ادداد ن بايتون ڭ تويتر
Error code 500,ⵜⴰⵏⴳⴰⵍⵜ ⵏ ⵓⵣⴳⴰⵍ 500,Apache-2.0,tangalt n uzgal 500,تانڭالت ن وزڭال 500
Rely on PyPI to get your job done?,ⵜⵙⵎⵔⴰⵙⴷ PyPI ⴳ ⵜⵡⵓⵔⵉ ⵏⵏⴽ?,Apache-2.0,tsmrasd PyPI g twuri nnk?,تسمراسد PyPI ڭ تووري ننك?
Password strength:,ⵜⵉⵖⵣⵉ ⵏ ⵜⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ:,Apache-2.0,tighzi n tguri n uzray:,تيغزي ن تڭوري ن وزراي:
Help,ⵜⵉⵡⵉⵙⵉ,Apache-2.0,tiwisi,تيويسي
Log in,ⴽⵛⵎ,Apache-2.0,kshm,كشم
Register,ⵣⵎⵎⴻⵎ,Apache-2.0,zmmem,زمم°م
View menu,ⵙⵎⴰⵍ ⵓⵎⵓⵖ,Apache-2.0,smal umugh,سمال وموغ
Menu,ⵓⵎⵓⵖ,Apache-2.0,umugh,وموغ
Main menu,ⵓⵎⵓⵖ ⴰⴷⵙⵍⴰⵏ,Apache-2.0,umugh adslan,وموغ ادسلان
RSS: 40 latest updates,RSS: 40 ⵉⵙⴷⵖⵉⵜⵏ ⵉⵎⴳⴳⵓⵔⴰ,Apache-2.0,RSS: 40 isdghitn imggura,RSS: 40 يسدغيتن يمڭڭورا
Search PyPI,ⵔⵣⵓ ⴳ PyPI,Apache-2.0,rzu g PyPI,رزو ڭ PyPI
Search projects,ⵔⵣⵓ ⴳ ⵉⵙⵏⴼⴰⵕⵏ,Apache-2.0,rzu g isnfaṛn,رزو ڭ يسنفارن
Search,ⵔⵣⵓ,Apache-2.0,rzu,رزو
About PyPI,ⵅⴼ PyPI,Apache-2.0,khf PyPI,خف PyPI
PyPI on Twitter,PyPI ⴳ Twitter,Apache-2.0,PyPI g Twitter,PyPI ڭ Twitter
Translate PyPI,ⵙⵙⵓⵖⵍ PyPI,Apache-2.0,ssughl PyPI,سسوغل PyPI
Sponsor PyPI,ⵔⵣⵓ ⴳ PyPI,Apache-2.0,rzu g PyPI,رزو ڭ PyPI
Status:,ⴰⴷⴷⴰⴷ:,Apache-2.0,addad:,ادداد:
Site map,ⴰⵖⴰⵡⴰⵙ ⵏ ⵡⴰⵙⵉⵜ,Apache-2.0,aghawas n wasit,اغاواس ن واسيت
Confirm Action,ⵙⵏⵜⵎ ⵜⵉⴳⴰⵡⵜ,Apache-2.0,sntm tigawt,سنتم تيڭاوت
Error code,ⵜⴰⵏⴳⴰⵍⵜ ⵏ ⵓⵣⴳⴰⵍ,Apache-2.0,tangalt n uzgal,تانڭالت ن وزڭال
"Or <a href=""%(href)s"">browse projects</a>","ⵏⵖ <a href=""%(href)s"">ⵥⵕ ⵉⵙⵏⴼⴰⵕⵏ</a>",Apache-2.0,"ngh <a href=""%(href)s"">ẓṛ isnfaṛn</a>","نغ <a href=""%(href)s"">زّر يسنفارن</a>"
'%(num_projects_formatted)s project','%(num_projects_formatted)s ⵓⵙⵏⴼⴰⵕ',Apache-2.0,'%(num_projects_formatted)s usnfaṛ','%(num_projects_formatted)s وسنفار'
'%(num_files_formatted)s file','%(num_files_formatted)s ⵓⴼⴰⵢⵍⵓ',Apache-2.0,'%(num_files_formatted)s ufaylu','%(num_files_formatted)s وفايلو'
'%(num_users_formatted)s user','%(num_users_formatted)s ⵓⵏⵙⵎⵔⵙ',Apache-2.0,'%(num_users_formatted)s unsmrs','%(num_users_formatted)s ونسمرس'
Confirm password,ⵙⵏⵜⵎ ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ,Apache-2.0,sntm taguri n uzray,سنتم تاڭوري ن وزراي
Password,ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ,Apache-2.0,taguri n uzray,تاڭوري ن وزراي
Your password,ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ ⵏⵏⴽ,Apache-2.0,taguri n uzray nnk,تاڭوري ن وزراي ننك
Show password,ⵙⵎⴰⵍ ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ,Apache-2.0,smal taguri n uzray,سمال تاڭوري ن وزراي
Forgot password?,ⵜⴻⵜⵜⵓⴷ ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ?,Apache-2.0,tettud taguri n uzray?,ت°تتود تاڭوري ن وزراي?
'%(count)s project',ⵔⵣⵓ ⴳ ⵉⵙⵏⴼⴰⵕⵏ,Apache-2.0,rzu g isnfaṛn,رزو ڭ يسنفارن
"<a href=""%(user_profile)s"">%(username)s</a> has been removed from the ""%(organization_name)s"" organization",ⵛⴽⴽ ⴷⵖⵉ ⴷ ${role} ⴳ ⵓⵙⵏⴼⴰⵕ ${project_name}'.,Apache-2.0,shkk dghi d ${role} g usnfaṛ ${project_name}'.,شكك دغي د ${role} ڭ وسنفار ${project_name}'.
Old organization type:,ⵙⵜⵢ ⵢⴰⵏ ⵢⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ 50 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,sty yan yism n unssmrs s 50 iwnghutn ngh drus.,ستي يان ييسم ن ونسسمرس س 50 يونغوتن نغ دروس.
New organization type:,ⵙⵜⵢ ⵢⴰⵏ ⵢⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⵙ 50 ⵉⵡⵏⵖⵓⵜⵏ ⵏⵖ ⴷⵔⵓⵙ.,Apache-2.0,sty yan yism n unssmrs s 50 iwnghutn ngh drus.,ستي يان ييسم ن ونسسمرس س 50 يونغوتن نغ دروس.
