Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⵎⴰⵔ ⴰⴼⴷⵓⴷⴷⵔ,anti-inflammatoire,مضاد الالتهاب,mar afduddr,مار افدوددر,Anti-inflammatory
ⴰⴼⵉⵍⵓ ⵏ ⵓⵙⵔⴰ,fil horizontal (trame),خيط أفقي,afilu n usra,افيلو ن وسرا,Horizontal thread
ⵡⴰⵔ ⵉⴼⵉⵍⵉ,Télé,لا سلكي,war ifili,وار يفيلي,Wireless
ⴰⵔⵣⴰⵢ ⵏ ⵓⴼⵉⵔⵓⵙ,propagation virale,تفشٍّ فيروسي,arzay n ufirus,ارزاي ن وفيروس,A viral outbreak
ⵜⵓⵎⴰⵢⵜ ⵏ ⵓⴼⵉⵔⵓⵙ,charge virale,حمْل فيروسي,tumayt n ufirus,تومايت ن وفيروس,Viral load
ⵜⴰⴷⵔⵙⵉ ⵏ ⵓⴼⵉⵜⴰⵎⵉⵏ,avitaminose,عوز فيتاميني,tadrsi n ufitamin,تادرسي ن وفيتامين,"""I need my vitamins."""
ⴰⴼⵍⴰⵢ ⴰⵎⴰⵜⴰⵢ,chirurgie générale,جراحة عامة,aflay amatay,افلاي اماتاي,General surgery
ⴰⴼⵍⴰⵢ ⵓⵙⴳⵉⵔ,chirurgie élective,جراحة اختيارية,aflay usgir,افلاي وسڭير,Elective surgery
ⴰⴼⵔⴰⴳ ⵏ ⵜⵓⵇⵇⵏⴰ,barrière de confinement,حاجز الحجر الصحي,afrag n tuqqna,افراڭ ن توققنا,Quarantine barrier
ⵉⴼⵔⴰⴳⵏ ⵉⴷⵉⵡⴰⵏⵏ,barrières douanières,حواجز جمركية,ifragn idiwann,يفراڭن يديوانن,Customs barriers
ⵎⵛⵛ ⴼⵔⵉⵡ,folivore,مقتات بأوراق الشجر,mshsh friw,مشش فريو,Feeds on tree leaves.
ⴰⴼⵔⵔⵓ ⵓⵛⵛⵉⵍ,paiement exigible,واجب الأداء,afrru ushshil,افررو وششيل,Performance duty or duty of performance.
ⴰⴼⵔⵔⵣ ⵏ ⵡⴰⵡⴰⵍ,bonne diction,إلقاء جيد,afrrz n wawal,افررز ن واوال,Good throw.
ⴰⴼⵕⵕⵊ ⵓⵙⵔⵉⴷ,spectacle en direct,عرض مباشر,afṛṛj usrid,افررج وسريد,Live broadcast
ⴰⴼⵕⵢⴰⴹ ⵏ ⵜⵉⵟⵟ,"louche, strabique",أحول,afṛyaḍ n tiṭṭ,افرياض ن تيطط,"""I convert"" or ""I transform"" (depending on the context)."
ⴰⴼⵙⴰⵢ ⵏ ⵜⴷⴳⴳⴰⵔⵜ,mainlevée,فك الرهن,afsay n tdggart,افساي ن تدڭڭارت,Release the mortgage.
ⴰⴼⵙⴰⵢ ⵢⵓⵙⴰⵏ,Solution pratique,حل عملي,afsay yusan,افساي يوسان,A practical solution
ⴰⴼⵜⴰⵙ ⴰⵎⵙⴷⵔⴰⵔ,littoral montagneux,ساحل جبلي,aftas amsdrar,افتاس امسدرار,Mountainous coast
ⴰⴼⵜⴰⵙ ⵏ ⵉⵊⴷⵉ,littoral sablonneux,ساحل رملي,aftas n ijdi,افتاس ن يجدي,Sandy coast
ⴰⴼⵜⴰⵙ ⵏ ⵜⵥⵕⵓⵜ,plage de galets,ساحل حصوي,aftas n tẓṛut,افتاس ن تزّروت,A pebbly shore
ⴰⴽⴰⴱⴰⵕ ⴰⴷⵉⴱⵍⵓⵎⴰⵙ,corps diplomatique,هيئة دبلوماسية، سلك دبلوماسي,akabaṛ adiblumas,اكابار اديبلوماس,"Diplomatic body, diplomatic corps."
ⴰⴽⴰⴱⴰⵕ ⵏ ⵉⵏⵖⵎⴰⵙⵏ,délégation journalistique,وفد صحفي,akabaṛ n inghmasn,اكابار ن ينغماسن,A press delegation
ⴰⴷⴷⴰⴷ ⵏ ⵡⴰⴽⴰⵍ,état du sol,حالة التربة,addad n wakal,ادداد ن واكال,Soil condition
ⴰⴽⴰⵍ ⵉⴱⵍⵙⵏ,terre fertile,أرض خصبة,akal iblsn,اكال يبلسن,Fertile land
ⴰⴽⴰⵍ ⵉⴷⵓⵏⴽⵍⵏ,sol arrosé,أرض مبللة,akal idunkln,اكال يدونكلن,Wet ground
ⴰⴽⴰⵍ ⵉⵔⵓⴼⴰⵏ,sol asséché,أرض ظمأى,akal irufan,اكال يروفان,A thirsty land.
ⴰⴽⴰⵍ ⵉⵙⵡⴰⵏ,sol  irrigué,أرض مسقية,akal iswan,اكال يسوان,Irrigated land
ⴰⴽⴰⵍ ⵉⵣⵣⴼⵏ,sol nu,أرض قاحلة,akal izzfn,اكال يززفن,A barren land.
ⴰⴽⴰⵍ ⵉⵣⵡⴰⵏ,sol asséché,أرض ظمأى,akal izwan,اكال يزوان,A thirsty land
ⴰⴽⴰⵍ ⴰⴼⵔⵓⵔⴰⵢ,sol fragile,تربة هشة,akal afruray,اكال افروراي,Fragile soil
ⴰⴽⴰⵏⵚⵉⵕ ⵏ ⵉⴷⴰⵎⵎⵏ,leucémie,سرطان الدم,akanṣiṛ n idammn,اكانصير ن يداممن,Leukemia
ⴰⴽⴰⵏⵚⵉⵕ ⵏ ⵜⵓⵔⵉⵏ,cancer du poumon,سرطان الرئة,akanṣiṛ n turin,اكانصير ن تورين,Lung cancer
ⴰⴽⴰⵏⵚⵉⵕ ⵏ ⵢⵉⴼⴼ,cancer du sein,سرطان الثدي,akanṣiṛ n yiff,اكانصير ن ييفف,Breast cancer
ⵎⴰⵔ ⴰⴽⴰⵏⵚⵉⵕ,anticancéreux,مضاد السرطان,mar akanṣiṛ,مار اكانصير,Anti-cancer
ⵏ ⵓⴽⴰⵏⵚⵉⵕ,cancéreux,سرطاني,n ukanṣiṛ,ن وكانصير,"""My cancer"" or ""Cancerous,"" depending on the context."
ⴰⴽⴰⵙ ⵏ  ⵓⵎⴰⴹⴰⵍ,coupe du monde,كأس العالم,akas n  umaḍal,اكاس ن  وماضال,The World Cup
ⴰⴽⴰⵣ  ⵣⵉⴽ,diagnostic précoce,تشخيص مبكّر,akaz  zik,اكاز  زيك,Early diagnosis
ⴰⴽⴰⵣ ⵙ ⵓⵙⵉⵏⴼ,diagnostic d'exclusion,تشخيص بالاستبعاد,akaz s usinf,اكاز س وسينف,Diagnosis by exclusion
ⴷⴷⴰⵏ ⴰⴽⴽⵯ ⵎⵉⴷⴷⵏ,tout le monde est parti,انصرفوا جميعا,ddan akkⵯ middn,ددان اككⵯ ميددن,They all left.
ⵓⵔ ⴰⴽⴽⵯ ⵉⴷⴷⵉ ⴰⴷ ⵢⴰⵏⵏⴰⵢ ⵎⵎⴰⵙ,Il n'est même pas allé voir sa mère,لم يذهب حتى لزيارة أمّه,ur akkⵯ iddi ad yannay mmas,ور اككⵯ يددي اد يانناي مماس,He didn't even go to visit his mother.
ⴰⴽⵎⵎⵓⴹ  ⵏ ⵜⴼⵙⵏⴰ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ,brûlure du premier  degré,حرق من الدرجة الثانية,akmmuḍ  n tfsna tamzwarut,اكمموض  ن تفسنا تامزواروت,Second-degree burn
ⴰⴽⵎⵎⵓⴹ  ⵏ ⵜⴼⵙⵏⴰ ⵜⵉⵙⵙ ⴽⵕⴰⴹⵜ,brûlure du troisième degré,حرق من الدرجة الثالثة,akmmuḍ  n tfsna tiss kṛaḍt,اكمموض  ن تفسنا تيسس كراضت,Third-degree burn
ⴰⴽⵎⵎⵓⴹ  ⵏ ⵜⴼⵙⵏⴰ ⵜⵉⵙⵙ ⵙⵏⴰⵜ,brûlure du deuxième degré,حرق من الدرجة الأولى,akmmuḍ  n tfsna tiss snat,اكمموض  ن تفسنا تيسس سنات,First-degree burn
ⴰⵃⴽⵓⴽ ⵏ ⵓⴽⵏⴰⵔⵉ,raquette de cactus,لوحة الصبار,aḥkuk n uknari,احكوك ن وكناري,The cactus painting.
ⴰⴽⵓⴷ ⴰⵏⵏ,"en ce temps-là, alors, à ce moment-là",آنذاك، حينذاك,akud ann,اكود انن,"At that time, back then."
ⴰⴽⵓⴷ ⵏ ⵜⵎⵙⵍⵉⵡⵜ ⵙ ⵜⵓⴳⵜ,heure de grande écoute,ساعة الذروة,akud n tmsliwt s tugt,اكود ن تمسليوت س توڭت,Rush hour
ⴰⴽⵓⵛⵎ ⵏ ⵉⵎⵥⵥⵢⴰⵏⵏ,poliomyélite (paralysie infantile),شلل الأطفال,akushm n imẓẓyann,اكوشم ن يمزّزّيانن,Polio
ⴰⴽⵓⵛⵎ ⵓⵣⴳⵉⵏ,hémiplégie,فالج، شلل نصفي,akushm uzgin,اكوشم وزڭين,"Paralysis, hemiplegia."
ⴰⴽⵔⴰⵙ ⴰⵏⴽⵙⵓⵎ,crampe musculaire,تشنج عضلي,akras anksum,اكراس انكسوم,Muscle spasm
ⵉⴽⵕⵕⴰⵊⵏ ⵏ ⵉⴽⵯⵍⴰⵏ,Crayons de couleur,أقلام ملونة,ikṛṛajn n ikⵯlan,يكرراجن ن يكⵯلان,Colored pencils
ⵜⵓⴼⴼⵜ ⵏ ⵓⴽⵙⵓⵎ ⵏ ⵜⵖⵎⴰⵙ,gingivite,التهاب اللثة,tufft n uksum n tghmas,توففت ن وكسوم ن تغماس,Gingivitis
ⴰⴽⵙⵓⵎ ⵏ ⵜⵖⵎⴰⵙ,gencive,لثة,aksum n tghmas,اكسوم ن تغماس,Gum (as in the gums in the mouth).
ⴰⴽⵙⵙⵉⵙ ⵏ ⵉⵖⵙⴰⵏ,ostéoporose,هشاشة العظام,akssis n ighsan,اكسسيس ن يغسان,Osteoporosis
ⴰⴽⵢⴰⴹ ⵏ ⵉⵎⵣⵣⴰⵏ,xénophobie,كره الأجانب، معاداة الأجانب,akyaḍ n imzzan,اكياض ن يمززان,"Xenophobia, hostility towards foreigners"
ⴰⴽⵯⵉ  (-ⵅⴼ/ⴳ),"Attaquer, Prendre d'assaut",هاجم,akⵯi  (-khf/g),اكⵯي  (-خف/ڭ),Attacked
ⴰⵀⴰ ⵢⴰⵀⴰ,exprime le désespoir ou le désagrément,تعبير عن خيبة الأمل,aha yaha,اها ياها,An expression of disappointment.
ⴰⴱⵣⴰⴳ ⵏ ⵓⵃⵍⵉⴳ,ballonnement,انتفاخ البطن,abzag n uḥlig,ابزاڭ ن وحليڭ,Bloating.
ⴳⵉⵙ ⴰⵃⵍⵉⴳ,diarrhée (avoir la-),أصيب بالإسهال,gis aḥlig,ڭيس احليڭ,He got diarrhea.
ⵜⵍⴰ ⴰⵃⵍⵉⴳ,enceinte (être-),حبِلَت، حملت,tla aḥlig,تلا احليڭ,"She conceived, she carried (a pregnancy)."
ⴱⵓ ⵓⵃⵏⵊⵉⴼ,"frimeur, condescendant",مُفاخر,bu uḥnjif,بو وحنجيف,"""Boastful"" or ""Proud"" (depending on the context)."
ⴰⵃⵚⴰⵕ ⵏ ⵡⴰⵎⴰⵏ,rétention d'urine,احتباس البول,aḥṣaṛ n waman,احصار ن وامان,Urinary retention
ⴰⵃⵟⵟⵓ ⵏ ⵓⴳⴰⵎⴰ,préservation de la nature,حماية الطبيعة,aḥṭṭu n ugama,احططو ن وڭاما,Protecting nature
ⴰⵃⵟⵟⵓ ⵏ ⵜⵡⵏⵏⴰⴹⵜ,protection de l’environnement,حماية البيئة,aḥṭṭu n twnnaḍt,احططو ن تونناضت,Environmental protection
ⴰⵙⵙ ⵏ ⵓⵃⵣⵣⴰⵎ,septième jour après la nuit de noces où la mariée remet sa ceinture et se coiffe comme toutes les autres femmes,اليوم السابع من العرس  حيث تضع  العروس حزامها وتتزين مثل باقي النساء,ass n uḥzzam,اسس ن وحززام,"The seventh day of the wedding, where the bride puts on her belt and adorns herself like the other women."
ⵜⵓⴼⴼⵜ ⵏ ⵓⵄⴷⴷⵉⵙ,ballonnement,انتفاخ البطن,tufft n u3ddis,توففت ن وعدديس,Bloating.
ⴰⵄⴷⴷⵉⵙ ⵏ ⵜⵉⵟⵟ,paupière,جفْن,a3ddis n tiṭṭ,اعدديس ن تيطط,Eyelid
ⴰⵄⴹⵓⴱⵓ ⴰⵎⵖⵍⴰⵍ,handicap permanent,إعاقة دائمة,a3ḍubu amghlal,اعضوبو امغلال,Permanent disability
ⴱⵍⴰ ⴰⵄⵍⴰⵎ,sans avis,دون إخطار، دون إشعار,bla a3lam,بلا اعلام,"Without notice, without notification."
ⴰⵄⵔⴰⵎ ⵙ ⵕⴱⴱⵉ,confiance en Dieu,التوكل على الله,a3ram s ṛbbi,اعرام س رببي,Reliance on God
ⴰ ⴰⵄⵔⵉ ⴰ ⴰⵄⵔⵉ !,Ô mon bonheur !,يا فرحتاه!,a a3ri a a3ri !,ا اعري ا اعري !,"Oh, what joy!"
ⵉⵥⴹⵉ ⵏ ⵓⵄⵔⵓⵔ,colonne vertébrale,عمود فقري,iẓḍi n u3rur,يزّضي ن وعرور,Spine or Backbone
ⵜⵉⴼⵔⵖⵉ ⵏ ⵉⵥⴹⵉ ⵏ ⵓⵄⵔⵓⵔ,scoliose,جنَف (انحراف العمود الفقري جانبيا),tifrghi n iẓḍi n u3rur,تيفرغي ن يزّضي ن وعرور,Scoliosis (lateral curvature of the spine)
ⴰⵄⵔⵓⵔ ⵏ ⵓⴹⴰⵕ,cou-de-pied,ظهر القدم,a3rur n uḍaṛ,اعرور ن وضار,The top of the foot.
ⴰⵄⵔⵓⵔ ⵏ ⵓⴼⵓⵙ,revers de la main,ظهر اليد,a3rur n ufus,اعرور ن وفوس,The back of the hand
ⴰⵄⵔⵓⵔ ⵏ ⵜⵉⵟⵟ,paupière,جفْن,a3rur n tiṭṭ,اعرور ن تيطط,Eyelid
ⴰⵢⵜ ⵓⵅⴰⵎ,"petite famille, foyer",أسرة، عائلة,ayt ukham,ايت وخام,"Family, relatives."
ⴱⴰⴱ ⵏ ⵓⵅⴰⵎ,chef de famille,رب الأسرة,bab n ukham,باب ن وخام,The head of the family.
ⵉⵎⵉ ⵏ ⵓⵅⴷⵉⵍ,cardia,فؤاد المعدة,imi n ukhdil,يمي ن وخديل,The stomach's lining.
ⴰⵅⴷⵓⵍ ⵏ ⵡⵓⴷⵉ,motte de beurre,كويرة زبدة,akhdul n wudi,اخدول ن وودي,A ball of butter
ⵉⵎⵉ ⵏ ⵓⵅⵏⴰ,anus,فتحة الشرج,imi n ukhna,يمي ن وخنا,The anus
ⵜⵉⵟⵟ ⵏ ⵓⵅⵏⴰ,anus,فتحة الشرج,tiṭṭ n ukhna,تيطط ن وخنا,Anal opening
ⴱⵓ ⵉⵅⵔⵔⵉⵇⵏ,menteur,كذاب,bu ikhrriqn,بو يخرريقن,Liar
ⵉⵙⵏⵉ ⵏ ⵡⴰⵅⵙ,couronne de dent,تاج السن,isni n wakhs,يسني ن واخس,The crown of the tooth.
ⵓⵣⵓⴼ ⵏ ⵓⵅⵙⴰⵏ,déchaussement de la gencive,انحسار اللثة,uzuf n ukhsan,وزوف ن وخسان,Gum recession
ⴰⵇⵇⴰ ⴰⵔⴳⴰⵣ,voici l'homme,ها هو الرجل,aqqa argaz,اققا ارڭاز,Here is the man.
ⴰⵇⵔⴱⵓⵙ ⵏ ⵡⴰⵍⵉⵎ,tas de paille,كومة تبن,aqrbus n walim,اقربوس ن واليم,A pile of hay
ⴰⵎⵙⵓⵙⵍ ⵉ ⵓⵇⵕⴰⴹ,ordonnateur,الآمر بالصرف,amsusl i uqṛaḍ,امسوسل ي وقراض,The authorizing officer.
ⵜⴰⵙⵓⵙⵍⵜ ⵉ ⵓⵇⵕⴰⴹ,Ordonnancement,الآمرية بالصرف,tasuslt i uqṛaḍ,تاسوسلت ي وقراض,The authorizing officer (or the person in charge of expenditure).
ⴰⵊⵊⵉⴹ ⴰⵎⴽⵕⵓⴹ,gale,جرب,ajjiḍ amkṛuḍ,اججيض امكروض,Try
ⴰⵊⵊⵉⴹ ⴰⵎⵙⵔⵓⵢ,teigne,صلع,ajjiḍ amsruy,اججيض امسروي,"The word ""صلع"" translates to ""baldness"" or ""bald"" in English, depending on the context. Could you provide more context for a more accurate translation?"
ⴰⵍⵍⴰⵍ ⴰⵍⴰⵏⴼⴰⵡ,système lymphatique,جهاز لمفاوي,allal alanfaw,اللال الانفاو,Lymphatic system
ⴰⵍⴰⵙ ⴰⵏⵎⵍⴰⵏ,redoublement (scolaire),رسوب  (دراسي),alas anmlan,الاس انملان,Academic failure
ⴰⵍⴰⵙ ⵏ ⵓⵙⴽⵛⵎ,réinsertion,إعادة الإدماج,alas n uskshm,الاس ن وسكشم,Reintegration
ⴰⵙⵔⵙ ⵏ ⵓⵍⴰⵡⴰⵢ,gare (train),محطة القطار,asrs n ulaway,اسرس ن ولاواي,Train station
ⴰⵍⴰⵢ ⵏ ⵉⴷⵓⵔⴰⵔ,alpinisme,تسلُّق الجبال,alay n idurar,الاي ن يدورار,Mountain climbing
ⵜⴰⵙⴷⵓⵙⵉⵜ ⵏ ⵓⵍⴷⴰⵢ ⵏ ⵉⵖⵏⵛⴰ,clinique de dépistage,مصحة الكشف,tasdusit n ulday n ighnsha,تاسدوسيت ن ولداي ن يغنشا,"""Diagnostic clinic"" or ""Screening clinic"""
ⵜⴰⵙⴷⵓⵙⵉⵜ ⵏ ⵓⵍⴷⴰⵢ ⵏ  ⵜⵎⴰⴹⵓⵏⵜ,clinique de dépistage,مصحة الكشف,tasdusit n ulday n  tmaḍunt,تاسدوسيت ن ولداي ن  تماضونت,Diagnostic clinic
ⵏ ⵡⴰⵍⴽⵓⵍ,alcoolique (matière),كحولي,n walkul,ن والكول,"""Alcoholic"""
ⴰⵍⵍⴰⵎ ⴰⵎⵇⵔⴰⵏ,grand cordon,حمالة كبرى,allam amqran,اللام امقران,A major carrier.
ⴰⵍⵍⴰⵙ ⵏ ⵓⵙⴽⵛⵎ,Réintegration,إعادة الإدماج,allas n uskshm,اللاس ن وسكشم,Reintegration
ⴰⵍⵍⴰⵙ ⵏ ⵓⵙⵏⴰⵢ,reconstitution,إعادة التكوين,allas n usnay,اللاس ن وسناي,Reconstruction
ⴰⵍⵍⴰⵙ ⵏ ⵓⵜⵡⴰⵍ,Réingénierie,إعادة هندسة,allas n utwal,اللاس ن وتوال,Re-engineering
ⵙ ⵡⴰⵍⵍⴰⵙ,doublage,دبلجة,s wallas,س واللاس,Dubbing
ⵜⴰⵎⵏⴰⴹⵜ ⵏ ⵡⴰⵍⵍⵅⴼ,aire cérébrale,ساحة المُخ,tamnaḍt n wallkhf,تامناضت ن واللخف,The brain's courtyard.
ⵜⵉⴼⵔⴽⵉⵜ ⵏ ⵡⴰⵍⵍⵅⴼ,cortex cérébral,مُخيخ,tifrkit n wallkhf,تيفركيت ن واللخف,Cerebellum
ⴰⵍⵍⵉⵖ ⵏ ⵓⵅⵅⴰⵎ,"étable, écurie",حظيرة,alligh n ukhkham,الليغ ن وخخام,Barn.
ⵜⵉⵣⵡⵉ ⵏ ⵡⴰⵍⵍⵏ,xérophtalmie,جفاف العين,tizwi n walln,تيزوي ن واللن,Dry eye
ⴰⵙⵇⵓⵔⵔⵉ ⵏ ⵡⴰⵍⵍⵏ,fait d'ouvrir extrêmement les yeux,نظرٌ بعين جاحظة,asqurri n walln,اسقورري ن واللن,A gaze with bulging eyes.
ⵜⴰⵎⴰⴹⵓⵏⵜ ⵏ ⵡⴰⵍⵍⵏ,ophtalmie,أمراض العيون,tamaḍunt n walln,تاماضونت ن واللن,Eye diseases
ⵜⴰⵙⵏⵉⵊⵊⵉⵜ ⵏ ⵡⴰⵍⵍⵏ,ophtalmologie,طب العيون,tasnijjit n walln,تاسنيججيت ن واللن,Ophthalmology
ⴰⵍⵎⴼⵓⵙ ⵏ ⵜⴰⵔⴷⴰ,gant de toilette,قفاز التنظيف,almfus n tarda,المفوس ن تاردا,Cleaning glove
ⴰⵍⵎⵙⵙⵉ ⴰⵣⵣⵓⵍⴰⵏ,foyer professionnel,بؤرة مهنية,almssi azzulan,المسسي اززولان,A professional hub.
ⴰⵍⵓⴳ ⵏ ⵡⴰⴳⴳⵯⴰⵜⵏ,cahier des charges,دفتر التحملات,alug n waggⵯatn,الوڭ ن واڭڭⵯاتن,Terms of reference
ⵉⵍⵓⴳⵏⵏ ⵉⵣⵔⴼⴰⵏⵏ,normes juridiques,معايير قانونية,ilugnn izrfann,يلوڭنن يزرفانن,Legal standards
ⴰⵍⵜⴰⴼ ⴰⵎⵙⵏⵉⵊⵊⵉ,kinésithérapie,تدليك طبي,altaf amsnijji,التاف امسنيججي,Medical massage
ⴰⵍⵍⴰⵍ  ⵏ ⵡⴰⵎⴰⴳ,appareil digestif,الجهاز الهضمي,allal  n wamag,اللال  ن واماڭ,The digestive system
ⴰⵙⴰⵔⵓ ⵏ ⵡⴰⵎⴰⴳ,tube digestif,قناة الهضم,asaru n wamag,اسارو ن واماڭ,The digestive tract
ⴰⵎⴰⴷⵍ ⵏ ⵓⵖⵣⴰⵔ,aval,سافلة الوادي,amadl n ughzar,امادل ن وغزار,The bottom of the valley.
ⴰⵎⴰⴹⵓⵏ ⵓⵏⴳⵉⵎ,malade mental,مريض ذهني,amaḍun ungim,اماضون ونڭيم,Mentally ill
ⴰⵎⴰⴹⵓⵏ ⵙ ⵓⵙⴽⴽⵯⴰⵔ,diabétique,مصاب بداء السكري,amaḍun s uskkⵯar,اماضون س وسككⵯار,Suffering from diabetes.
ⴰⵎⴰⴽⴽⴰⵢ ⴰⵙⵏⵎⴰⵍⴰⵢ,serveur informatique,مكنز معلوماتي,amakkay asnmalay,اماككاي اسنمالاي,An informational thesaurus
ⴱⵍⴰ ⴰⵎⴰⵍⴰⴷ,sans préjudice,دون إخلال,bla amalad,بلا امالاد,Without prejudice
ⴰⵎⴰⵍⴰⵍ ⴰⵣⵔⴼⴰⵏ,commissaire judiciaire,منتدب قضائي,amalal azrfan,امالال ازرفان,Judicial delegate
ⴰⵎⴰⵏ ⵏ ⵜⵍⵓⵍⵍⵓⵢⵜ,eau de fleur d'oranger,ماء الزهر,aman n tlulluyt,امان ن تلوللويت,Orange blossom water
ⴰⵎⴰⵏ ⵏ ⵜⵣⵡⵉⵡⵖⵜ,eau de rose,ماء الورد,aman n tzwiwght,امان ن تزويوغت,Rose water
ⴳ ⴰⵎⴰⵏ,uriner,تبول,g aman,ڭ امان,Urination
ⵓⵙⵉⵏ ⵡⴰⵎⴰⵏ ⴰⵎⴰⵏ,Il pleut des cordes,هطلت الأمطار بغزارة,usin waman aman,وسين وامان امان,The rain poured heavily.
ⵙⴽⵔ ⴰⵎⴰⵏ,uriner,تبول,skr aman,سكر امان,Urination
ⵜⵓⵏⵓⴹⵜ ⵏ ⵡⴰⵎⴰⵏ,cycle de l'eau,دورة الماء,tunuḍt n waman,تونوضت ن وامان,The water cycle
ⵜⴰⵣⵣⵍⴰ ⵏ ⵡⴰⵎⴰⵏ,"écoulement, ruissèlement",جريان، سيلان,tazzla n waman,تاززلا ن وامان,"Flow, stream."
ⴰⵎⴰⵏⴽⵓⵍ ⴰⵎⵙⵙⵉⵣⴷⴳ,désinfectant hydro-alcoolique,معقم مائي كحولي,amankul amssizdg,امانكول امسسيزدڭ,Alcohol-based water sanitizer
ⴰⵎⴰⵔⵉ ⴰⵎⴰⵜⴰⵢ,"magistrat, procureur",النائب العام,amari amatay,اماري اماتاي,The Public Prosecutor
ⴰⵎⴰⵜⵔ ⵏ ⵉⵡⵓⵜⵜⴰ,surveillance des frontières,مراقبة الحدود,amatr n iwutta,اماتر ن يووتتا,Border monitoring
ⴰⵎⴰⵜⵜⵉⵡ ⴰⴱⵉⴷⴰⴳⵓⵊⵉ,dispositif pédagogique,إجراء بيداغوجي,amattiw abidaguji,اماتتيو ابيداڭوجي,Pedagogical procedure
ⴰⵎⴰⵡⴰ ⴰⴷⵓⵙⴰⵏ,équipement médical,معدات طبية,amawa adusan,اماوا ادوسان,Medical equipment
ⴰⵎⴰⵡⴰⵍ ⵉⵥⵍⵉⵏ,"vocabulaire, lexique sectoriel",معجم قطاعي,amawal iẓlin,اماوال يزّلين,Sectoral dictionary
ⴰⵎⴰⵡⴰⵙ ⴰⵎⵔⴷⵓ,assistant virtuel,مساعد افتراضي,amawas amrdu,اماواس امردو,Virtual assistant
ⴰⵎⴰⵡⴰⵙ ⴰⵏⵣⵔⴰⴼ,huissier de justice,مفوض قضائي,amawas anzraf,اماواس انزراف,Judicial commissioner
ⴰⵎⴰⵡⴰⵙ ⵉⵎⴳⵉⵍⵍⵉ,assesseur juré,عون محلف,amawas imgilli,اماواس يمڭيللي,"""Sworn assistant"" or ""Sworn aide."""
ⴰⵎⴰⵡⴰⵙ ⵏ ⵉⵎⵉⵔⴷⵉ,coaccusé,مشترِك في تهمة,amawas n imirdi,اماواس ن يميردي,An accomplice in a charge.
ⴰⵎⴰⵡⴰⵙ ⵏ ⵓⵙⵉⴽⵍ,agent de la circulation,شرطي المرور,amawas n usikl,اماواس ن وسيكل,Traffic policeman
ⴰⵎⴰⵡⵙⴰⵙ ⵏ ⵓⵡⴰⵏⴽ,ministre d'Etat,وزير الدولة,amawsas n uwank,اماوساس ن ووانك,Minister of State
ⵏⴳⵔⵎⴰⵡⵙⴰⵙ,interministériel,بيوزاري,ngrmawsas,نڭرماوساس,"The word ""بيوزاري"" is not standard Arabic, and its meaning isn't clear. It might be a colloquial term, a typo, or a word from a specific dialect. Could you provide more context or clarify its usage?"
ⴰⵎⴰⵣⴰⵏ ⵉⵎⵥⵍⵉ,envoyé spécial,مبعوث خاص,amazan imẓli,امازان يمزّلي,Special envoy
ⴱⵓ ⵉⵎⴳⵉⵣⵏ,joufflu,ممتلئ الخدين,bu imgizn,بو يمڭيزن,Chubby-cheeked.
ⴰⵎⴳⵓⵏ ⴳ ⵓⵙⴳⵏⴰⴼ,personne hospitalisée,نزيل بالمستشفى,amgun g usgnaf,امڭون ڭ وسڭناف,A hospital patient.
ⴰⵎⴳⵣⴰⵢ ⵏ ⵜⵇⴰⵕⵉⴹⵉⵏ ⵜⵓⴷⴷⵉⵣⵉⵏ,graveur de CD,مسَجِّل الأقراص المدمجة,amgzay n tqaṛiḍin tuddizin,امڭزاي ن تقاريضين تودديزين,CD recorder
ⴰⵎⴷⴰ ⴰⵎⵉⵔⵉⵡ,étang large,حوض واسع,amda amiriw,امدا اميريو,A wide basin
ⴰⵍⵓⵣⵣⵓ ⵏ  ⵓⵎⴷⵍⵓ,dissipation des nuages,تبدد السحب,aluzzu n  umdlu,الوززو ن  ومدلو,The clouds dissipate.
ⴰⵎⴷⵍⵓ ⵓⴳⵔⵉⵙ,nuage glacé,سحابة جليدية,amdlu ugris,امدلو وڭريس,Ice cloud
ⴰⵎⴷⵍⵓ ⵢⵓⴷⵔⵏ,nuage bas,سحابة منخفضة,amdlu yudrn,امدلو يودرن,Low cloud
ⵉⵎⴹⴰⴽⴰⵕⵏ,Pourparlers,مباحثات,imḍakaṛn,يمضاكارن,Discussions or negotiations
ⴰⵎⴽⴽⴰⵙⵓ ⵏ ⵜⴳⵍⴷⵉⵜ,héritier du trône,ولي العهد,amkkasu n tgldit,امككاسو ن تڭلديت,Crown Prince
ⴰⵎⴽⵢⴰⴹ  ⵏ ⵉⵎⵣⵣⴰⵏ,xénophobe,معاد للأجانب,amkyaḍ  n imzzan,امكياض  ن يمززان,"""Hostile to foreigners"" or ""Anti-foreigners"""
ⴳ ⵓⴱⵔⵉⴷ ⵏ ⵓⵎⵄⴰⵏ,en cours d'acquisition,قيد التحصيل,g ubrid n um3an,ڭ وبريد ن ومعان,"""Under collection"" or ""In the process of being collected."""
ⴰⵎⵉⴳ ⴰⵎⵉⵔⵉⵡ,varice (s),دالية (ج دوالٍ),amig amiriw,اميڭ اميريو,Daliyah (plural: Dawalin)
